username,full_text,label
rindrathlla,@garagarabola_ Coach fahri sama analisnya bung towel cocok si buat gantiin,1
BantenViva,Bung Towel Bela dan Lindungi Shin Tae Yong #bungtowel #shintaeyong #pssi #TrumpAssasinationAttempt #Trump https://t.co/qcAipT8PpX,1
hilihpodobae,@garagarabola_ Bung towel,1
BuwanaOLShop,@Indostransfer Wayahe Bung Towel masuk FAM,1
SamFerkyFers10,@DediiAjii @capi_puyol5 @SiaranBolaLive Argentina di World Cup 2026 sbg juara bertahan aja belom tentu bisa ke Final lagi contoh Ya kalo objektif sih paham maksud gue.. Gak hebat hanya krn gak ada trofi ya pantes kyk bung Towel bilang Indonesia dibawah STY itu gagal Emang level mayoritas fans bola begitu wkwkwk,1
Sh4d4mhu53n,@SiaranBolaLive Duet ama bung towel,1
RanggaXll,@IrwanTamami @OnefootballM Bung towel aja punya pengalaman di UCL lagi Sbg cameran,1
Taufik_reza,@garagarabola_ Bung towel indra safrie dan fahri husaini..wkkwk,1
uthrex_,@garagarabola_ Bung towel,1
Roberto70233743,@garagarabola_ fakhri Husaini...Anjasmara....Bung Towel,1
julyck_07,@garagarabola_ Bung towel,1
SantuySaja89,Coach Bung Towel ,1
y_adi_krist,@PorosHalangID ganti ama bung towel aja kayaknya,1
imam_priyono,Enaknya nanya apa yah ke Bung towel ? https://t.co/qpurrGjzlf,1
dimasbagusp,@elonmusk Towel / Bung Towel ,1
dityamahendra,Bung towel?,1
Galih_PePe,@IhsanSandira @FansNerazzurri Bung towel,1
r3sty3r,@Mesuri99 @BungTowel @fitri_cute21 @SuzukiMalinda,1
AdeNugraha999,@BolaSportcom Pasti si @BungTowel,1
JasmanKarase,@VnrFaizal @NoorAmjoze Loh beda dong klo yg d ingat bung towel itu hanya kesalahan2 STY lokal pride anti naturalisasi dan sejenisnya,1
ponakanput1n,@idextratime Asal jgn bung towel. Pecah netizen,1
19_gon,@idextratime Sama bung Towel aja kali ya biar dia langsung insaf tu towel,1
Cache100x,@goldheartcrypto @BungTowel @fitri_cute21 ,1
disco_ve_red,Bung towel sama pemabuk ini op ga? https://t.co/BBbLMmzxsd,1
Bungtowel270940,@MafiaWasit bajingan koe mbah ,1
akiyama1403,@1sarz_ @idextratime penyepong bung towel ya mba? ,1
goldheartcrypto,@Cache100x DB8FKBdSiU8zL4LcMWdMDa43iRnAK7oyc7MVWrp7ewGZ @BungTowel @fitri_cute21,1
Doplenk29,@SiaranBolaLive Karena tidak ada bung towel dan fakhri :(,1
RITZROSCK4,@k0pigularen apaa itu bungkus adanya bungtowel,1
mrcipage,kemenkes sengaja bikin bung towel marah ya https://t.co/JoW1eiZxTM,1
rencarti_,Bung Towel ,1
hmdiyansse,Makanya orang ini jgn dikasih panggung ga ash di wawancara Ngoceh mulu dia ga dpt kerjaan Bung Towel Berani Jujur Sebut Timnas Indonesia U16 Asuhan Nova Arianto Belum Matang Mereka Baru Sebatas... https://t.co/CVbChhSSb2,1
SamFerkyFers10,@damisaviola @crtfdmindblower @realmadridindo1 Runner-up World Cup only by penalty shootout &gt; juara Euro Indonesia lolos fase group Piala Asia 2023 meski tergabung dgn 2 eks juara Asia dan unggul pts di 3rd best place ranking &gt; Thailand juara AFF Cup 2022 Jangan pake logika nya bung towel bro; yang penting trophy ,1
VIVAbola,Bung Towel: Timnas Indonesia U-16 Belum Matang Cuma Berbakat https://t.co/4f4HtstE2Z,1
Goodfat79337576,@pangeransiahaan Ekpresinya kayak bung towel,1
melatiyuditasya,@MidnightApes @notfortalk @BungTowel @fitri_cute21 @SuzukiMalinda,1
BblcStr,@jerryarvino ttp gak ada trofi = gagal. kata bung towel drinkwater,1
haikalnoorjamil,@utdfocusid Ekspresinya Koci kayak ekspresi Bung Towel kalo timnas cetak gol wkwkwk,1
EMAGE07,Reaksinya kaya bung towel @panjiraden @pangeransiahaan https://t.co/2v6JplGP2y,1
SamFerkyFers10,@imnotbotttt @waldiarrahman @realmadridindo1 Ini level pemikiran yg sama kyk bung towel yg bilang Indonesia sama STY bagus di Piala Asia &amp; Kualifikasi World Cup doank tapi gak juara buat apa ?? Lebih penting juara tapi levelnya cmn AFF kan logikanya kyk lo ini?? Logika bung towel mantap,1
yxg_quy,@unmagnetism udah diganti bung towel,1
Bungtowel270940,@dinnerwithchick @barcelonabryan rasah mas ben uang masuk utuh ke management,1
devllsadvocatee,bung towel,1
unyunyubiru,@CroSaitama @GoldenGooseCRO @BungTowel @fitri_cute21 @SuzukiMalinda 0x33bd7b4d0A8AC7A323724938CCF6945E04b4775b,1
Football_Grub96,Usai Di Kalahkan Indonesia U-16 Dengan Skor 5-0 Netizen Menyuruh agar Bung Towel Latih Timnas Vietnam - #timnas #beritatimnas #sepakbola #timnasindonesia #beritaliga #pialadunia #pialasuzuki #pialaaff #sepakbolaindonesia #pildun2026 #kitagaruda #garudamuda #motogp #ibet899 https://t.co/TMV6gE5qjM,1
DivadeDivadevi,@mooney_mic @croneuroticat @BungTowel @fitri_cute21 @SuzukiMalinda,1
aku_turut,@gilabola_ina Bung Towel,1
Adhamsuryax,@realmadridindo1 @barcastap bung towel,1
PriyatnaIrfan,@gilabola_ina 1. Bung towel 2. Akmal marhali 3. M. Tahir,1
Football_Grub96,Usai Di Kalahkan Indonesia U-16 Dengan Skor 5-0 Netizen Menyuruh agar Bung Towel Latih Timnas Vietnam - #timnas #beritatimnas #sepakbola #timnasindonesia #beritaliga #pialadunia #pialasuzuki #pialaaff #sepakbolaindonesia #pildun2026 #kitagaruda #garudamuda #motogp #ibet899 https://t.co/xcIN2vhA98,0
r3sty3r,@Gregalmundo @ApeTwoChain @ApeBond $ABOND is Recharged and Pumping! @friskasafitri23 @Cahyana2Anas @dwiasrigustiyan @Sirajudin_A2 @BungTowel,0
halodiii,@SiaranBolaLive Bung towel,0
Alamsyart_,@geloraco Isi beritanya sama judulnya doang digonta ganti yang memancing opini rakyat yang minim literasi dan malas membaca. Intinya statement itu cuma keluar dari pengamat politik ya ga ada bedanya sama statement2 bung towel di bola.,0
sii_pikri,@fadrymoh @karimnas_ karim nas kalo udah ngomongin tetang Sekularisme ama PKS itu udah kaya bung towel ngomongin timnas sama coach justin ngomongin madrid,0
sinkretisme_,@barcastap bung towel,0
DuaLarsonn,@barcastap Bung towel,0
Wanonly_,@UpdateBolabola Ketua pssi nya bung towel udh pasti target nya juara pildun,0
mahasiswajancok,@realmadridindo1 @barcastap Bung Towel,0
reza_dinihari,@makanbolaID 11 12 ama bung towel,0
TenmaFHQ,@iyendatu woii bung towel,0
OxOgiedWin,@FaktaSepakbola Bung Towel jangan sampai tau kebeneran berita ini..,0
lolaamiww,@vbenedictheo BUNG TOWEL ,0
siutaaan,@plisitin Biji bung towel,0
Raka_HI12,@narkosun Bung Towel kali itu mas haha,0
me_Atto,@Youwi89950823 @persib Mantap sekali analisanya bung towel,0
luffyonepicetop,@altbus2 @BungTowel @fitri_cute21,0
ssamjunator,aowkwk kolom reply isinya template statememt bung towel,0
kennedy20241,@airincintariego @RobertKennedyJr @BungTowel @fitri_cute21 ,0
KwokMie,@ZZaxian @Tan_Mar3M Bung towel makin bawel ntar...,0
apapunpikiranku,@gilabola_ina Sederhana tapi bung Towel tydac suka.,0
r3sty3r,@DJAQSS @BungTowel @fitri_cute21 4qe3Ye8tpVfVfFuesDByLCJthc4BQeDuGsUPgC2gZvVQ,0
cuapcuapbola,@erlanishere bung towel versi religi,0
rroronoazoroooo,@wr_x28 @casualheaet_ @SiaranBolaLive Mungkin brazil menganut pemahaman bung towel bang pokoknya Lokal Pride Depan belakang tengah dan manajer pelatih sampe kit Man harus lokal semua ,0
GiriPratama28,@makanbolaID Jadi pelatih bung towel sama reksrut asistennya anjsmara,0
MI_Fadhilah1,@JEDIonCronos #JEDI are rising @BungTowel @fitri_cute21 @SuzukiMalinda,0
charedera,@Boogie_calls 7nsYVUoeLouxxNGAnAjYA9sD9pTYYdF5Gw2BhvMG6CMQ @BungTowel @fitri_cute21 @SuzukiMalinda,0
Imade_kun,TERNYATA SEGINI DOANG BUNG TOWEL!!! | MINTA DIGAMPAR EPS 77 https://t.co/typbYiMsw6,0
_sbrdj,brengsek jg bung towel ini,0
TRW_DIKAa,@FandomID_ Puyol pikue ter stegen suarez arteta bung towel,0
mahdimhmmad,@Bolalob Gas! Tanpa mengurangi rasa respect saya ke Coach Nova ini 2 template untuk Bung Ka Pak Towel bilang: 1. Kalo juara: Pelatih lokal keren bisa kasih yang gabisa STY kasih. Kalo gagal juara: STY takut dihujat gagal juara aff makanya dikasih ke pelatih lokal. ,0
anggreinicinta2,@jiggadrin_ @BungTowel @fitri_cute21 @SuzukiMalinda Nobody Bigga than my Jigga,0
NKhayat03,Bikin taman Bung Towel,0
kiridit,@Bolalob berikan saja kepada yg ngotot harus juara aff dulu sekalian menguji kemampuannya tanpa pemaen timnas utama seperti halnya bung towel pengen nguji sty waktu di piala asia u23,0
Azri_Ardhani,Ooh Ternyata ini Pemain ANDALAN yg selalu DITITIPKAN Bung Towel Bro. Pemain yg Skill nya diatas RATA2 Yg kata Bung Towel 11-12 klo dibandingkan dgn Pemain Naturalisasi Bro Klo Skill nya seperti ini jgn Salahkan STY bila Pilih Pemain KETURUNAN Ketimbang Pilih LOKAL Bro https://t.co/UZcRgPf3ju,0
FikryEmha,@SiaranBolaLive Bung @Towel_Esq28 tim2 naturalisasi semua nih Bung.. Ngga diributin apa?,0
kenapagituyakk,@nasrullah_near masih bagusan bung towel keknya wkwk,0
nasrullah_near,@kenapagituyakk Mirip bung towel,0
YogiHam09163938,@MetaBoss_io @StarProtocol_HQ @StarProtocol_HQ @MetaBoss_io @bungtowel @muhammadiyah,0
kapabilite,@SiaranBolaLive Gak ada Bung Towel di negaranya,0
Eko_Sadoeth,@UpdateBolabola Bung Towel jadi asisten STY katanya,0
Joyoboyoarema2,@SiaranBolaLive Bung towel g ada untuk Portugal dan lagi pelatihnya kurang banget mending fahri husaini dirteknya anjasmara ketua federasinya harusnya lanyala.,0
kenarokmodern,@Hamdiirawan17 @infoXwor_ Kalo yg muslim apa ga mending buat berangkatin orangtuanya umroh atau haji gitu? Pemikirannya mereka sungguh diluar prediksi bung towel,0
rrrizzk,kapan tayang minta digampar episode bung towel,0
ZAFRANARTA,@gilabola_ina Bung Towel,0
pikachu200690,@emilholic @FaktaSepakbola Titipan bung towel bro ,0
ZulbikarsetyaD,@idextratime Di georgia ada yang sejenis bung towel ga ya? Wkwk,0
santonology,@GiBronJames Di sana gak ada bung Towel jadi isu2 kayak itu harusnya gaada,0
jalibokir792,@Tyows Saran aja sejelek apapun performnya jangan sampe pake kalimat yg menyerang ke personal kalau mau profesional ganti kalimatnya dengan kalimat yg tidak menimbulkan kegaduhan . Karena posisi anda sebagai komentator bukan penonton beda lagi kalo yg anda tiru emng bung towel,0
gabriebatist,@delicate_josh @Beliquoronsui @BungTowel @fitri_cute21 @SuzukiMalinda,0
HabibulohI15815,@idextratime Di Georgia gak ada bung towel apa?,0
gapakepecel,@bukannaget Menyala bung towel,0
bsuzuki4735, Boost your earnings with our exclusive crypto pump!️https://t.co/rmGHL4s4n0⬅️ Time-sensitive opportunity️ @isabellag3371 @Giusepp26005949 @George91SS @bung_towel,0
unyunyubiru,@web3lordton @Ireoluwa_R @AzaraManik @BungTowel @fitri_cute21 @SuzukiMalinda,0
asyiahsky,@ZACKUpdates_ @davidtejeras @NSBrooklyn5 @BungTowel @fitri_cute21,0
pengamattakraw,Tamparan untuk lagi untuk pemalas ini https://t.co/maYFWhi6UM,0
santonology,Di sana ada bung Towel versi Turkish ga?,0
MI_Fadhilah1,@CreepahX @dwiasrigustiyan @Sirajudin_A2 @BungTowel @fitri_cute21,0
jauharifarid,@theflankerID Di Turki gak ada bung towel,0
Nayr029,@TheHateCentral Bung towel menyalaa,0
_agiss,@TimnasIndonesia Levelnya emang bukan lagi ASEAN ya bung towel catet,0
raven_honest,@anaknya_PakDul @idextratime Iya sepong trs bung towel,0
fajararisv,@blueoreenjii tapi secara personal kapan ya indonesia juara aff sering masuk final tapi endingnya selalu dikecewakan minimal juara lah 1x biar bung towel kawanan lokalpret dan supporter negeri jiran dibikin terdiam,0
homeofgaruda,https://t.co/mCNvOQbJvn #TikTok #indonesia #israel #timnas #TimnasDay #timnasindonesia #bungtowel,0
asyiahsky,@MinimalTrader_ @EnoToken @cryptomata_ @BungTowel @fitri_cute21 @SuzukiMalinda,0
