username,text,label
divisipublikasu,Ernanda &amp; bung towel.,0
KilasViralll,@SiaranBolaLive @GOAL_ID Bung towel itu siapa? Kok kayanya ngga ngerti apa apa tp banyak bicara ya,0
Ravico27,@ainurohman TOWEL emang anjing,1
yupiexoticmango,Mas ernanda ini suruh temenan aja ama bung towel wkwkwk,0
0xIpur,@yudhidwi_ wkwkwkkw 2 manusia kontol ernanda x towel,1
Adhikatama1,@SiaranBolaLive Inilah hasil kerja manajemen tolol dan amatiran dr @PSSI bisa-nya cuma urus selebrasi2 gak penting macam Jersey launching kemaren.. @erickthohir @AryaSinulingga @akmalmarhali @bung_towel,1
nggrhwnprmn,Coba bayangin reaksinya bung towel,0
hafiizdn,Sangat menyesal gw pernah mengidolakan Towel sebagai komentator bola. Kesini2 malah jadi goblok.,1
ridhoikhsan_s,Bung towel terjebak dilema ,0
Con_D_0riano,@indosupporter Towel anjing,1
Blekiiihensem,towel = tolol dan bawel 1000% valid,1
alexandreOvanov,@_bhayuajie_ @gilabola_ina Ada bung. Jan pieter zoen towel,0
debatmadridID,@BungTowel #toweltolol,1
shutupbitchhh_h,@BolaBolaAja TOWEL TOLOL ANJING KONTOL IDIOT BANGSAT,1
tangsanhammer,Towel towel anjing,1
Willy_andrianst,Sia anjing ih kunaon towel,1
demiara,Bung Towel mau lawan orang yang gemesin begini ya kalah jauh.,0
henkun1975,@halodandan7 @SiaranBolaLive Bisa gak sih bung towel dinaturalisasi sama Kamerun..soalnya ribet bat orangnya,0
mrakyatbiasa,@GOAL_ID Bung towel aja suruh jadi pelatih U16 bisa gak,0
bapakbapakfunny,@MafiaWasit Boleh asal pernah Juara Piala Dunia. Komentarnya bung towel,0
Muhamma8244975,@wasit_liga @kemalpalevi Towel anjing,1
orang_miiskin,@MafiaWasit Emang kontol towel,1
brothermckenzie,@SiaranBolaLive bung towel,0
methaprasetio,@mildandaru ayo nda ndang di buka konspirasi bung towel siap mbeber kloso iki.,0
ramadhika99,@indosupporter Towel bangsat sampah!!,1
ao_rora68201,@BungTowel perasaan komentator bola kalo ada gol pasti teriak what a game wonderful hohoho dan seterusnya. sampah banget lu wel ,0
rizkifaahreza,@7ckngNeg @panditfootball Towel asem bgt bangsat mukanya,1
mrwakb,@Lodeh_kluweh @idextratime @diarioas Bung towel,0
ErwinSatriani,@GOAL_ID Wartawannya baik timnasnya juga baik. Lagian ngapain podcast ngasih panggung bung towel bikin gaduh aja.,0
TioFarizki,2 ORANG KONTOL TOWEL ERNANDA BANGSAT,1
_bangkutaman1,@gilabola_ina Sederhana dan tapi bung towel marah,0
vgros_,Jangan lupa bersyukur dan menghina bung towel anjing,1
e_fandi_mas,@aptisk10 @SiaranBolaLive Akun fakenya bung towel pasti ini,0
watonyangkem,@SiaranBolaLive Fakhri karo towel bajingan rupamu ko kontol,1
m_iqbalhrs,opini yang bagus bung towel sekarang waktunya mendirikan ulang KPSI sesuai delusionalmu itu?,0
JoelThama,TOWEL VS EVERYBODY mental tuh org kuat kali hampir setahun masi aja kokoh dgn prinsip nya emng tolol,1
bidjioka00,@bahaspemainbola @Sport77Official Tipikal pemain santai disuruh main winger tolol amat towal towel kontol udh gitu maksa banget Asnawi main kalo arhan masih oke lahhh walaupun kalo udh ada Calvin gw lebih milih dia,1
akupendengarmu,@GOAL_ID Bung Towel makin kesini makin julid ga perlu dikasih panggung kalo masih jadi komentator julid,0
H3lmiRon4ldo,@SonyAndrio @BungTowel Banyak BACOT di Bung HANDUK a.k.a TOWEL...,1
zanuratharyanto,@SiaranBolaLive @GOAL_ID Towel anjing bulan ramadhan bikin kisruh aja nih orang tolong si towel dibelenggu dong,1
Arrazzi9,@MafiaWasit Marah marah mulu ni bung towel,0
alv6662,@gilabola_ina towel goblok bgt asli,1
yudhistiira,@7ckngNeg @panditfootball Towel = tolol wellwellwell,1
rangga_agung16,@DimassAnggoroo Towel goblok,1
irfanzayo,Towel ini terlihat jelas kalo dia bisnis titip pemain ke timnas. Kita tau lah dia dedengkot kompetisi usia muda macem liga topskor. Sejak STY dateng bisnis titip pemain mandek. Emang dasar penghianat bangsat. Selama ini yg bikin prestasi timnas gak berkembanh yaa mereka.,1
pucuktribun,Kemunculan Bung Towel akhir-akhir ini adalah untuk memberikan bukti bahwa Coach Justin tidak seburuk yang kita pikirkan.,0
spaceraikou,@indosupporter towel anjing towel anjing,1
Dylanarrifqi1,Lagi iseng nontonin debatnya Mamat sama Towel. Ini antara gua yang goblok atau Towel yang terlalu pinter. Gua gabisa nilai wkwkwk. Ada part dimana gua rasa dia bener.. tapi saat ada yang ga masuk akal cukup keras kepala juga mempertahankan argumennya wkwk. Jd keliatan ngarang,1
raevindr,@unagurl Banyak mulai dari kebutuhan 1 bulan bed sheet towel buat wajah toples baskom aksesoris kamar mandi dan satu set bantal dan guling (ini gara2 diskon bajingan),1
lostfin17,@GOAL_ID BACOT AJG SIA TOWEL PENGHAMBAT KALAU LU GASUKA SAMA ORANGNYA LANGSUNG DM AJA AJG AJAK SPARING,1
revo_litas,@GOAL_ID Bung towel kontol,1
AmiRandaaaa,@CoachJustinL Jadi fans bung towel sih coach harus nya sama dengarin cerita halu dari capres yang gagal,0
heysuto,@BungTowel Janji gak lapor ke polisi dan gandeng pengacara kalo digoreng netijen?,0
GilangR19102120,@The_RedsIndo Towel anjing.udah jaman canggih pemikiran masih purba,1
vanssTzy,@TextDariFarel Wts 2s Bung Towel 200jt atau Tukar Supra bapakk,0
Dyy_karS,@Gils4everybody @adoomme @nathanaelafuk @utdfocusid @bliblidotcom Maklum aja di pengisap kontol towel ,1
harihariheri,@ainurohman klo saya sih masih melihat apa yang bung towel sampaikan sebagai saran (klo tidak bisa disebut kritik) positif. wajar saja sih menurutku,0
Awanglocs,towel anjing,1
forgoodpleasure,@indosupporter Lemes bgt towel bangsat ini,1
watonyangkem,@andi1_muhammad @suroto1985 @GOAL_ID Towel bajingan itu kan?,1
Almarhum13,@medioclubID @idn_abroad @bung_towel wel lu nggak bisa bedain naturalisasi sama diaspora ya wel ? Goblok bener wel,1
rskuntowiyoga,bung Towel naik karena ada yg nanya. jadi yg suka mancing yg sebenernya harus ditanya maksudnya apa. -,0
txtdrzami,@SiaranBolaLive @GOAL_ID Bung towel nyari panggung .. Kritiknya tidak membangun dan skrg sudah tidak objektif,0
bukansingaaa,@rizalputrzs @indosupporter Awoakwokaowka towel goblok,1
nndikap,@idextratime Pokoknya towel kontol,1
yanuarrdm13,@SiaranBolaLive @GOAL_ID Cpt mati towel kontol,1
alfienson,@GOAL_ID mending @BungTowel jadi pelatih indo aja biar ga banyak omong,0
sulungg__,@BungTowel Suporter vietnam bung,0
rudalmudrik,@MovixLite @gilabola_ina Coba di spawn org nya @BungTowel,0
chanenuttz,@SonyAndrio @BungTowel Towel anjing kau anjingggggh â€,1
FarisWahyudi_,Lagian perihal perpanjangan kontrak STY ngapain nanya ke bung towel si emangnya bung towel HRD,0
Awanglocs,@GOAL_ID towel anjing,1
grgskim,Kapan lagi bantai nguyen Towel anjing,1
ryan_ires,@Ogisurya21 @ardibhironx @SiaranBolaLive Maksudnya kontol nya d towel atau kontol si towel om ???? ,1
rudalmudrik,@medioclubID Gimana komentar bung handuk @BungTowel,0
agusthabebek,Bung towel makin lama bukan makin kritis namun makin membenci STY. Ada orang begini ya? ,0
aaenggie,Pansos aja itu @BungTowel. Lagi jaga relevansi dia sebagai komentator lawas yang ingin tetap diperhitungkan di kancah persepakbolaan moderen. Dia sedang coba sentuh pecinta bola lawas yg masih gandrung dengan timnas saat ini agar merek ngeh bahwa dia still alive.,0
ipoelamri,Bung towel itu singkatan kan? Setauku namanya Tommy Welly kn dlu srg muncul di RCTI,0
akunbijak11,@faz_hrp Gak bisa deh pemain titipan gw masuk.towel kontol bangsat,1
wahyunulis,Dpr nya bung towel dpd nya koh jastin dan MK nya jonru bwang,0
watonyangkem,@KepaArgawinata7 Keluarga ne si towel iki mesti. Towel bajingan,1
mangkleke,@medioclubID @t10nugroho @HadiGunawan1306 Towel goblok,1
zulodd,bro udh terlampau egois Bung Towel versi jersey ini mah,0
janganmangvt,@binlatif @panditfootball Gini2 aja gimana mksdnya bang? Lu sependapat sama bung towel?,0
BintangR1998,@GOAL_ID takut pemain titipanya bung towel gak bisa masuk timnas ,0
FJARR_,@idextratime bung Towel karo Ernanda (Erspo) kongkon bentuk negoro dewe ae cok nyerimpet nyerimpeti uwong ae goblok!,1
Iqbaalkhatami,@MafiaWasit Pola dan teknik permainan yg disukai bung towel mbah,0
srape_,@GOAL_ID Gabisa apa-apa? Pep Guardiola kalo ngelatih pemain lokal yg elo puja-puji juga bisa kena stroke bos @BungTowel,0
takitng,@idextratime @bliblidotcom towel gabisa bacot gol beruntung mampus kntl,1
PawiroFajar,@idextratime Nonton towel d tv one Eti... Anjing banget,1
pacenyong07,@BungTowel Bgmna klo diam aja bung,0
rainbowaltz,@PRIYELLnya2 @BungTowel ,0
benkbenkkkkk,@hatuejawa @FaktaSepakbola Goblok penyepong towel asu,1
raykairi,@ftrrhman_ @SonyAndrio @BungTowel Makanya itu mah akal an dia aja wkwkwk,0
fanasional,coba bilang gitu sambil towel towel kepalanya pake mic towel anjing,1
pnugroho28,@ainurohman Bung Towel bukannya Bung Anduk ya?,0
sashim1trash,@gilabola_ina Cc in bung Towel dong,0
icikiwirrruhuk,@halodandan7 @SiaranBolaLive Bung Towel dan Coach Fahri sangat tidak suka dengan komentar ini.,0
marshallbastian,@mhrdhikadp Kamu pendukungnya Bung Towel yah?,0
HafizhArrr,@GOAL_ID Njajal pep guardiola kon nyekel timnas indonesia seng pemain e pure liga 1 lak yo itaitu towel goblok!,1
abrmjy,@SiaranBolaLive @GOAL_ID tidak apa-apa sebenernya beliau mendukung STY tapi karena pesanan yang bayar harus kritik STY ya gimana lagi. mau bangga pun terlanjur ga suka sm STY malu dong jilat ludah sendiri. kan gitu bung? @BungTowel,0
HAlfredi98345,@IDSPORTSTV Towel artinya tolol dan rewel plus bangsat tidak menghargai kerja keras orang,1
lastcermin,@f0189856420071 @SiaranBolaLive Mati aja lu towel anjir gedek gw astaghfirullah,1
NerCassano,towel : aduhh anjing bikin statement apaan lagi yak buat ngejatuhin STY MAMPUS ANJING LOKAL PRET,1
duwekaja,@ardibhironx @SiaranBolaLive Towel bajingan,1
QeizR,Towel kontol,1
radenafm,@praditavanjava @idextratime towel kontol nyari makan dari pansosssss,1
P_Ginanjar_,@indosupporter Towel kontol,1
jarereza,@MovixLite @gilabola_ina sosok Bung Towel kritik kebijakan STY mirip2 seperti Bung Rocky Gerung kritik kebijakan JKW dulu mirip tapi tak sama. ,0
panggilaja_marr,@Fjrnrm_ @SiaranBolaLive Coba bayangin u punya 125000000000 Bung Towel,0
Awanglocs,intinya si towel tetep anjing dia gasuka liat timnas menang dasar pundit tolol bisanya titipin pemain ke timnas doang,1
MrActinomycetes,sederhana tp bung towel belanda marah,0
Aliarifin22_,@medioclubID @GOAL_ID Di perlukan oposisi bagi STY supaya beliau tambah termotivasi u/ membuktikan bahwa ocehan bung towel yg bawel itu salah. Semoga Timnas segera tembus 100 besar.,0
DeviK87456,@BungTowel Sebenarnya towel ini orang Indonesia atou bukan sih?kok kayaknya GK suka lihat Timnas menang,0
syauqifikri,@GOAL_ID Pak Prabowo kalo mau bungkam seseorang monggo bung towel aja itu dibungkam. Seluruh rakyat Indonesia setuju kok ,0
halahapaansihlo,@BungTowel BACOTTTT ANJING TOWEL,1
Agilnurulzaman0,@ainurohman towel anjing,1
